Gender,Year_of_Study,Branch,Type_of_Schooling_till_10th_Grade,Percentage_in_Class_10th,Location_of_Class_10th_School, Type_of_Schooling_for_class_12th,Percentage_in_Class_12th,Location_of_Class_12th_School,Dropped_an_year_after_School,First_generation_graduate ,"Volunteer_groups(NCC,NSS, Social Welfare Groups  or any other)",Programming_languages_do_you_know,Actively_involved_in_Specific_technology,Exposure_to_DSA,Exposure_to_GitHub ,Associated_with_any_developer_Community,Active_in_developer_Communities,Participating_in_Hackathons_and_other_competitions,Made_any_Software_based_projects,"Made_any_Hardware_based_project (Arduino, Raspberry Pi, Robots or any other)",Have_you_ever_pitched_any_idea,Additional_skills,Achievements
Male,First,CS/AI,Normal Schooling,>= 90%,City,Schooling with Tuitions,>=90%,City,Yes,No,No,1,Competitive Coding,Easy,Easy,No,No Account,Not yet participated,No,Yes,No,None,None
Female,First,ECE,Normal Schooling,>=80% and <90%,City,Normal Schooling,>=80% and <90%,City,No,No,No,1,Development,Easy,Easy,No,No Account,Not yet participated,No,No,No,Photography,None
Female,Second,CSE/IT,Normal Schooling,>=80% and <90%,City,Normal Schooling,>=90%,City,No,Yes,Yes,1,Development;Designing,Easy,Easy,No,No Account,Not yet participated,Yes,No,No,Cultural Activities,None
Male,First,CS/AI,Schooling with Tuitions,>= 90%,Town,Schooling with Tuitions,>=90%,Town,Yes,Yes,Yes,1,Designing,Medium,Medium,No,Inactive Member,Not yet participated,No,No,No,Sports,Scholarships;Projects
Female,Second,CSE/IT,Schooling with Tuitions,>= 90%,City,Schooling with Tuitions,>=90%,City,No,No,No,1,Development,Medium,Easy,No,No Account,Not yet participated,No,No,Yes,Photography;Video Editing;Cultural Activities,None
Female,Second,CSE/IT,Normal Schooling,>= 90%,City,Normal Schooling,>=80% and <90%,City,No,Yes,No,2 to 3,Development;Competitive Coding,Easy,Easy,Yes,Active Member,Participated,Yes,No,Yes,Photography,None
Female,Second,CSE/IT,Normal Schooling,>= 90%,City,Schooling with Tuitions,>=80% and <90%,City,No,No,No,1,Development,Medium,Medium,Yes,Moderately Active,Participated,Yes,No,Yes,Cultural Activities,Projects
Female,Second,ECE,Normal Schooling,>= 90%,City,Schooling with Tuitions,>=80% and <90%,City,No,No,No,1,None,Easy,Easy,No,Inactive Member,Not yet participated,No,Yes,Yes,Sports;Cultural Activities,None
Male,First,ECE,Normal Schooling,>=80% and <90%,Town,Normal Schooling,>=70% and <80%,Town,Yes,No,No,1,Development;None,Easy,Easy,No,Inactive Member,Not yet participated,No,No,No,Sports,None
Female,Second,CSE/IT,Normal Schooling,>= 90%,City,Schooling with Tuitions,>=90%,City,Yes,No,No,1,None,Easy,Easy,Yes,Moderately Active,Participated,No,No,Yes,Photography;Cultural Activities,Scholarships
Male,Second,ECE,Schooling with Tuitions,>=70% and <80%,Town,Schooling with Tuitions,>=70% and <80%,City,No,No,No,1,Development,Medium,Easy,Yes,Moderately Active,Not yet participated,No,Yes,Yes,Video Editing;Sports,Projects
Male,Second,CSE/IT,Schooling with Tuitions,>=80% and <90%,City,Coaching Based Schools,>=90%,City,No,Yes,No,1,None,Easy,Easy,No,Inactive Member,Not yet participated,No,Yes,No,Photography;Video Editing;Sports;Cultural Activities,None
Male,Second,CSE/IT,Normal Schooling,>= 90%,City,Normal Schooling,>=90%,City,Yes,No,No,2 to 3,Competitive Coding,Easy,Easy,No,Inactive Member,Not yet participated,No,No,No,None,None
Male,Second,MCA,Coaching Based Schools,>=70% and <80%,Town,Coaching Based Schools,>=60% and <70%,Town,No,Yes,No,2 to 3,Development;Designing,Easy,Easy,No,Inactive Member,Not yet participated,No,No,No,Photography;Video Editing,Projects
Male,Second,CSE/IT,Schooling with Tuitions,>= 90%,City,Schooling with Tuitions,>=90%,City,Yes,Yes,No,1,None,Medium,Medium,No,Inactive Member,Not yet participated,Yes,No,No,Sports,None
Female,Second,ECE,Normal Schooling,>=80% and <90%,Village,Normal Schooling,>=70% and <80%,Village,No,Yes,No,1,None,Easy,Easy,No,Inactive Member,Not yet participated,No,No,Yes,Cultural Activities,Projects
Female,Third,CSE/IT,Schooling with Tuitions,>= 90%,Town,Schooling with Tuitions,>=90%,Town,No,No,No,04-May,Development,Easy,Easy,No,No Account,Participated,Yes,No,No,Sports,Projects
Male,Second,ECE,Normal Schooling,>=80% and <90%,City,Normal Schooling,>=70% and <80%,City,Yes,No,No,1,Development,Medium,Medium,No,Inactive Member,Participated,No,Yes,Yes,Sports,Projects
Male,Second,CSE/IT,Normal Schooling,>= 90%,City,Normal Schooling,>=90%,City,No,No,No,2 to 3,Development;Competitive Coding,Medium,Medium,No,Inactive Member,Participated,Yes,No,Yes,None,Projects
Male,Second,ECE,Normal Schooling,>=80% and <90%,City,Normal Schooling,>=80% and <90%,City,No,No,No,1,Development;Designing,Easy,Easy,Yes,Active Member,Not yet participated,No,Yes,Yes,Photography;Video Editing;Sports,Projects
Male,Second,MCA,Normal Schooling,>=80% and <90%,City,Normal Schooling,>=60% and <70%,City,Yes,Yes,Yes,2 to 3,Development;Designing,Easy,Easy,No,Moderately Active,Participated,Yes,No,Yes,Sports,Coding Competitions
